0.030,0.025,0.127,0.104,0.050,0.050
0.027,0.025,0.127,0.095,0.050,0.050
0.027,0.024,0.077,0.068,0.050,0.050
0.030,0.024,0.158,0.149,0.050,0.050
0.026,0.024,0.099,0.090,0.050,0.050
0.024,0.024,0.117,0.113,0.050,0.050
0.023,0.021,0.149,0.127,0.050,0.050
0.025,0.023,0.163,0.176,0.050,0.050
0.022,0.020,0.177,0.154,0.050,0.050
0.022,0.021,0.154,0.149,0.050,0.050
0.026,0.023,0.249,0.253,0.050,0.050
0.031,0.032,0.166,0.165,0.050,0.050
0.034,0.034,0.097,0.101,0.050,0.050
0.034,0.030,0.047,0.047,0.050,0.050
0.037,0.027,0.047,0.052,0.050,0.050
0.043,0.035,0.061,0.070,0.050,0.050
0.014,0.012,0.031,0.031,0.135,0.060
0.021,0.013,0.061,0.061,0.135,0.060
0.014,0.010,0.026,0.026,0.135,0.060
0.016,0.013,0.053,0.057,0.135,0.060
0.013,0.013,0.035,0.040,0.135,0.060
0.014,0.012,0.031,0.040,0.135,0.060
0.017,0.013,0.026,0.026,0.135,0.060
0.013,0.012,0.022,0.026,0.135,0.060
0.013,0.011,0.026,0.026,0.135,0.060
0.012,0.012,0.031,0.031,0.135,0.060
0.011,0.010,0.040,0.040,0.135,0.060
0.012,0.011,0.031,0.031,0.135,0.060
0.011,0.010,0.026,0.026,0.135,0.060
0.011,0.010,0.031,0.031,0.135,0.060
0.012,0.011,0.031,0.031,0.135,0.060
0.012,0.011,0.035,0.031,0.135,0.060
0.011,0.011,0.057,0.053,0.135,0.060
0.012,0.011,0.022,0.022,0.135,0.060
0.011,0.010,0.026,0.022,0.135,0.060
0.011,0.011,0.040,0.044,0.135,0.060
0.013,0.012,0.013,0.013,0.135,0.060
0.012,0.011,0.013,0.013,0.135,0.060
0.012,0.011,0.022,0.022,0.135,0.060
0.012,0.010,0.013,0.013,0.135,0.060
0.013,0.010,0.018,0.018,0.135,0.060
0.013,0.011,0.013,0.013,0.135,0.060
0.012,0.011,0.013,0.013,0.135,0.060
0.014,0.012,0.018,0.013,0.135,0.060
0.011,0.011,0.018,0.018,0.135,0.060
0.014,0.011,0.013,0.013,0.135,0.060
0.013,0.012,0.035,0.044,0.135,0.060
0.013,0.012,0.018,0.018,0.135,0.060
0.013,0.012,0.009,0.009,0.135,0.060
0.018,0.013,0.018,0.018,0.135,0.060
0.016,0.013,0.018,0.013,0.135,0.060
0.016,0.013,0.013,0.013,0.135,0.060
0.014,0.012,0.013,0.013,0.135,0.060
0.015,0.012,0.031,0.026,0.135,0.060
0.014,0.011,0.013,0.013,0.135,0.060
0.014,0.011,0.013,0.013,0.135,0.060
0.013,0.011,0.022,0.018,0.135,0.060
0.036,0.012,0.022,0.018,0.135,0.060
0.016,0.011,0.013,0.013,0.135,0.060
0.014,0.011,0.013,0.013,0.135,0.060
0.016,0.010,0.013,0.013,0.135,0.060
