A1955J99R36Q  C1999 09 14.04454 02 00 36.45 -25 16 59.7          16.1  za6197629
A1955J99R36Q  C1999 09 14.04579 02 00 37.12 -25 16 55.6          15.8  za6197629
A1955J99R36Q  C1999 09 14.04709 02 00 37.83 -25 16 51.7          16.3  za6197629
A1955J99R36Q  C1999 09 14.38186 02 04 16.51 -24 57 06.0          15.4  aa6197704
A1955J99R36Q  C1999 09 14.39441 02 04 23.64 -24 56 20.6          15.5  aa6197704
A1955J99R36Q  C1999 09 14.40699 02 04 30.81 -24 55 35.0          15.5  aa6197704
A1955J99R36Q  C1999 09 14.41971 02 04 38.05 -24 54 48.4          15.8  aa6197704
A1955J99R36Q  C1999 09 14.43248 02 04 45.37 -24 54 00.8          15.9  aa6197704
A1955J99R36Q  C1999 09 14.50996 02 05 50.68 -24 44 18.4          15.2 Rca6197467
A1955J99R36Q  C1999 09 14.51047 02 05 50.99 -24 44 16.9          15.1 Rca6197467
A1955J99R36Q  C1999 09 14.51098 02 05 51.30 -24 44 15.0          15.1 Rca6197467
A1955J99R36Q  C1999 09 14.51149 02 05 51.60 -24 44 13.4          15.0 Rca6197467
A1955J99R36Q  C1999 09 14.51969 02 05 56.62 -24 43 45.0          15.3 Rca6197467
A1955J99R36Q 1C1999 09 14.61990 02 07 03.72 -24 37 53.8                 a6197413
A1955J99R36Q 1C1999 09 14.62090 02 07 04.32 -24 37 50.2          15.1 R a6197413
A1955J99R36Q  C1999 09 14.71688 02 08 00.44 -24 31 54.2          15.1 Rza6197428
A1955J99R36Q  C1999 09 14.71837 02 08 01.35 -24 31 47.9          15.2 Rza6197428
A1955J99R36Q  C1999 09 14.71985 02 08 02.26 -24 31 41.6          15.1 Rza6197428
A1955J99R36Q  C1999 09 14.72133 02 08 03.13 -24 31 35.8          15.1 Rza6197428
A1955J99R36Q  C1999 09 15.05517 02 12 10.84 -24 13 08.7                ca6197118
A1955J99R36Q  C1999 09 15.05703 02 12 12.07 -24 13 00.7                ca6197118
A1955J99R36Q  C1999 09 15.05809 02 12 12.80 -24 12 56.1          15.2 Rca6197118
A1955J99R36Q  C1999 09 15.07910 02 12 27.50 -24 11 25.7          14.6 Rda6197046
A1955J99R36Q  C1999 09 15.08035 02 12 28.33 -24 11 20.3                da6197046
A1955J99R36Q  C1999 09 15.08106 02 12 28.81 -24 11 17.3                da6197046
A1955J99R36Q  C1999 09 15.08176 02 12 29.28 -24 11 14.0                da6197046
A1955J99R36Q  C1999 09 15.11449 02 13 07.79 -24 04 20.0          15.5 Vza6197859
A1955J99R36Q  C1999 09 15.11648 02 13 09.12 -24 04 12.0          15.3 Vza6197859
A1955J99R36Q  C1999 09 15.11933 02 13 11.00 -24 04 00.8          15.4 Vza6197859
A1955J99R36Q  C1999 09 15.12146 02 13 12.45 -24 03 52.4          15.4 Vza6197859
A1955J99R36Q  C1999 09 15.12363 02 13 13.90 -24 03 43.6          15.0 Vza6197859
A1955J99R36Q  C1999 09 15.12605 02 13 15.52 -24 03 33.7          15.3 Vza6197859
A1955J99R36Q  C1999 09 15.38800 02 16 33.36 -23 47 49.3          15.1 R a6197848
A1955J99R36Q  C1999 09 15.38866 02 16 33.82 -23 47 46.4          15.0 R a6197848
A1955J99R36Q  C1999 09 15.38933 02 16 34.26 -23 47 43.3          15.0 R a6197848
A1955J99R36Q  C1999 09 16.05793 02 25 56.88 -22 50 06.3                da6197046
A1955J99R36Q  C1999 09 16.05943 02 25 58.11 -22 49 58.2                da6197046
A1955J99R36Q  C1999 09 16.06009 02 25 58.64 -22 49 54.6                da6197046
A1955J99R36Q  C1999 09 16.06065 02 25 59.07 -22 49 51.1          13.9 Rda6197046
A1955J99R36Q  C1999 09 16.13312 02 26 58.32 -22 42 44.6                 a6197595
A1955J99R36Q  C1999 09 16.13466 02 26 59.57 -22 42 35.2                 a6197595
A1955J99R36Q  C1999 09 16.13626 02 27 00.91 -22 42 25.4                 a6197595
A1955J99R36Q  C1999 09 16.13869 02 27 02.93 -22 42 10.7          14.3 V a6197595
A1955J99R36Q  C1999 09 16.37115 02 30 55.28 -22 18 38.2          13.9 R a8522848
A1955J99R36Q  C1999 09 16.37164 02 30 55.71 -22 18 35.4          13.9 R a8522848
A1955J99R36Q  C1999 09 16.37214 02 30 56.14 -22 18 32.4          14.0 R a8522848
A1955J99R36Q  C1999 09 16.55705 02 34 03.51 -21 52 54.6          14.8 Rza6197428
A1955J99R36Q  C1999 09 16.55796 02 34 04.30 -21 52 49.5          14.7 Rza6197428
A1955J99R36Q  C1999 09 16.55881 02 34 05.11 -21 52 43.8          14.8 Rza6197428
A1955J99R36Q  C1999 09 17.77113 02 56 40.39 -19 12 03.3          15.0 Vza6197322
A1955J99R36Q  C1999 09 17.79187 02 57 04.00 -19 08 47.3          15.4 Vza6197322
A1955J99R36Q  C1999 09 17.79432 02 57 06.76 -19 08 24.6          14.9 Vza6197322
A1955J99R36Q  C1999 09 17.81101 02 57 25.78 -19 05 45.0          15.3 Vza6197322
A1955J99R36Q  C1999 09 17.81542 02 57 30.77 -19 05 02.8          14.8 Vza6197322
A1955J99R36Q  C1999 09 17.83397 02 57 52.02 -19 02 02.4          14.4 Vza6197322
A1955J99R36Q  C1999 09 18.64156 03 17 01.05 -16 34 18.3          14.5 Rza6197428
A1955J99R36Q  C1999 09 18.64231 03 17 02.12 -16 34 09.2          14.5 Rza6197428
A1955J99R36Q  C1999 09 18.64293 03 17 02.96 -16 34 01.8          14.6 Rza6197428
A1955J99R36Q  C1999 09 18.64359 03 17 03.91 -16 33 53.6          14.6 Rza6197428
A1955J99R36Q  C1999 09 19.09024 03 29 13.58 -14 54 55.3          14.8 Vza6197859
A1955J99R36Q  C1999 09 19.09187 03 29 16.24 -14 54 33.1          14.7 Vza6197859
A1955J99R36Q  C1999 09 19.09646 03 29 23.55 -14 53 31.0          15.0 Vza6197859
A1955J99R36Q  C1999 09 19.09972 03 29 28.78 -14 52 46.5          15.3 Vza6197859
A1955J99R36Q  C1999 09 19.10263 03 29 33.49 -14 52 05.4          14.9 Vza6197859
A1955J99R36Q  C1999 09 19.10370 03 29 35.17 -14 51 51.2          14.9 Vza6197859
A1955J99R36Q  C1999 09 19.10789 03 29 41.90 -14 50 53.7          15.2 Vza6197859
A1955J99R36Q  C1999 09 19.10950 03 29 44.45 -14 50 31.8          14.9 Vza6197859
A1955J99R36Q  C1999 09 19.11164 03 29 47.84 -14 50 02.6          14.9 Vza6197859
A1955J99R36Q  C1999 09 19.11325 03 29 50.35 -14 49 40.3          15.2 Vza6197859
A1955J99R36Q  C1999 09 19.88219 03 52 43.89 -11 31 22.4          14.5   a6197327
A1955J99R36Q  C1999 09 19.88444 03 52 47.98 -11 30 41.7          14.5   a6197327
A1955J99R36Q  C1999 09 19.88708 03 52 52.74 -11 29 54.4          14.4   a6197327
A1955J99R36Q 1C1999 09 20.00861 03 57 10.96 -10 53 37.2                za6197121
A1955J99R36Q 1C1999 09 20.00965 03 57 12.94 -10 53 18.0                za6197121
A1955J99R36Q 1C1999 09 20.01069 03 57 14.92 -10 52 58.9                za6197121
A1955J99R36Q 1C1999 09 20.01278 03 57 18.87 -10 52 20.4                za6197121
A1955J99R36Q  C1999 09 20.04481 03 58 28.09 -10 42 13.0                da6197046
A1955J99R36Q  C1999 09 20.04991 03 58 37.97 -10 40 39.0                da6197046
A1955J99R36Q  C1999 09 20.05109 03 58 40.13 -10 40 16.8          14.0 Rda6197046
A1955J99R36Q  C1999 09 20.05174 03 58 41.32 -10 40 05.2                da6197046
A1955J99R36Q  C1999 09 20.05238 03 58 42.61 -10 39 52.6                da6197046
A1955J99R36Q  C1999 09 20.05306 03 58 43.98 -10 39 38.9                da6197046
A1955J99R36Q  C1999 09 20.11497 04 01 09.28 -10 10 56.3          15.3 Vza6197859
A1955J99R36Q  C1999 09 20.13562 04 01 50.19 -10 04 27.9          14.7 Vza6197859
A1955J99R36Q  C1999 09 20.15231 04 02 22.97 -09 59 12.0          15.3 Vza6197859
A1955J99R36Q  C1999 09 20.16517 04 02 48.08 -09 55 07.4          15.6 Vza6197859
A1955J99R36Q  C1999 09 20.17422 04 03 05.71 -09 52 13.8          14.6 Vza6197859
A1955J99R36Q  C1999 09 20.19303 04 03 42.26 -09 46 12.1          15.6 Vza6197859
A1955J99R36Q  C1999 09 20.22663 04 04 47.30 -09 35 18.5          14.5 Vza6197859
A1955J99R36Q  C1999 09 20.25007 04 05 32.58 -09 27 37.0          15.4 Vza6197859
A1955J99R36Q  C1999 09 20.26819 04 06 07.56 -09 21 37.5          15.7 Vza6197859
A1955J99R36Q  C1999 09 20.30027 04 07 09.66 -09 10 53.9          15.6 Vza6197859
A1955J99R36Q  C1999 09 20.32865 04 08 04.90 -09 01 17.4          14.6 Vza6197859
A1955J99R36Q 1C1999 09 20.97968 04 33 13.05 -05 11 41.1                 a9928121
A1955J99R36Q 1C1999 09 20.98073 04 33 15.48 -05 11 16.4                 a9928121
A1955J99R36Q 1C1999 09 20.98168 04 33 17.69 -05 10 53.9                 a9928121
A1955J99R36Q 1C1999 09 20.98337 04 33 21.56 -05 10 14.1                 a9928121
A1955J99R36Q 1C1999 09 20.99961 04 33 58.93 -05 03 50.9                 a9928121
A1955J99R36Q 1C1999 09 21.00043 04 34 00.83 -05 03 31.7                 a9928121
A1955J99R36Q 1C1999 09 21.00126 04 34 02.74 -05 03 11.8                 a9928121
A1955J99R36Q  C1999 09 21.65846 05 02 08.76 -00 14 46.2          15.0 Rza6197428
A1955J99R36Q  C1999 09 21.65907 05 02 10.32 -00 14 29.7          14.9 Rza6197428
A1955J99R36Q  C1999 09 21.65971 05 02 11.94 -00 14 12.5          15.0 Rza6197428
A1955J99R36Q  C1999 09 21.66028 05 02 13.37 -00 13 57.4          14.9 Rza6197428
A1955J99R36Q 1C1999 09 22.06182 05 20 14.74 +02 36 18.3          14.6 Vza6197121
A1955J99R36Q 1C1999 09 22.06254 05 20 16.61 +02 36 37.9                za6197121
A1955J99R36Q 1C1999 09 22.08149 05 21 06.70 +02 45 24.4          14.9 Vza6197121
A1955J99R36Q 1C1999 09 22.08230 05 21 08.85 +02 45 47.0                za6197121
A1955J99R36Q  C1999 09 22.42916 05 37 49.87 +05 28 09.6          15.1 R a6197848
A1955J99R36Q  C1999 09 22.42991 05 37 51.98 +05 28 31.3          15.4 R a6197848
A1955J99R36Q  C1999 09 22.43068 05 37 54.11 +05 28 53.1          15.4 R a6197848
A1955J99R36Q  C1999 09 22.43144 05 37 56.21 +05 29 14.5          15.3 R a6197848
A1955J99R36Q  C1999 09 22.43293 05 38 00.37 +05 29 57.5          15.5 R a6197848
A1955J99R36Q  C1999 09 22.43371 05 38 02.51 +05 30 19.1          15.5 R a6197848
A1955J99R36Q  C1999 09 22.43447 05 38 04.60 +05 30 40.8          15.2 R a6197848
A1955J99R36Q  C1999 09 22.43524 05 38 06.69 +05 31 02.1          15.4 R a6197848
A1955J99R36Q  C1999 09 22.43826 05 38 15.11 +05 32 28.1          15.4 R a6197848
A1955J99R36Q  C1999 09 23.45670 06 28 03.94 +13 18 27.2          15.5 R a6197848
A1955J99R36Q  C1999 09 23.47467 06 28 54.79 +13 26 21.7          14.8 R a6197848
A1955J99R36Q  C1999 09 23.48357 06 29 19.89 +13 30 16.5          15.1 R a6197848
A1955J99R36Q  C1999 09 23.48878 06 29 34.54 +13 32 33.4          15.0 R a6197848
A1955J99R36Q  C1999 09 23.49881 06 30 02.70 +13 36 56.3          15.3 R a6197848
A1955J99R36Q  C1999 09 23.50771 06 30 27.62 +13 40 49.4          15.6 R a6197848
A1955J99R36Q  C1999 09 23.76434 06 42 59.45 +15 39 42.6          15.2 Rza6197428
A1955J99R36Q  C1999 09 24.77267 07 30 06.14 +21 40 48.0          15.5 Rza6197428
A1955J99R36Q 3C1999 12 29.65237 13 48 01.88 +05 19 54.3                 a8522568
A1955J99R36Q 3C1999 12 29.65543 13 48 02.19 +05 19 50.1                 a8522568
A1955J99R36Q 3C1999 12 30.64462 13 49 50.94 +04 57 29.1                 a8522568
A1955J99R36Q 3C1999 12 30.64699 13 49 51.19 +04 57 26.0                 a8522568
A1955J99R36Q 9C2000 03 30.39029 14 23 57.02 -21 26 41.6          18.2 R b1957695
A1955J99R36Q 9C2000 03 30.39306 14 23 56.54 -21 26 43.0          18.2 R b1957695
A1955J99R36Q 9C2000 03 30.39569 14 23 56.09 -21 26 44.4          18.1 R b1957695
A1955J99R36Q 9C2000 03 30.39859 14 23 55.56 -21 26 45.8          18.1 R b1957695
A1955J99R36Q 9C2000 03 30.41400 14 23 52.85 -21 26 53.5                 b1957695
A1955J99R36Q 9C2000 03 30.41681 14 23 52.33 -21 26 54.8          18.1 R b1957695
A1955J99R36Q 9C2000 03 30.41933 14 23 51.91 -21 26 56.1          18.1 R b1957695
A1955J99R36Q 9C2000 03 30.42184 14 23 51.48 -21 26 57.3          18.2 R b1957695
A1955J99R36Q 9C2000 03 30.42453 14 23 50.99 -21 26 58.7          18.0 R b1957695
A1955J99R36Q 9C2000 03 30.43831 14 23 48.56 -21 27 05.4          18.1 R b1957695
A1955J99R36Q 9C2000 03 30.44058 14 23 48.16 -21 27 06.5          18.0 R b1957695
A1955J99R36Q TC2000 04 06.2413  14 03 45.60 -22 09 14.8          19.0 Rbb1957709
A1955J99R36Q TC2000 04 06.2433  14 03 45.21 -22 09 15.9          19.0 Rbb1957709
A1955J99R36Q TC2000 04 06.2447  14 03 44.85 -22 09 16.3          18.9 Rbb1957709
A1955J99R36Q TC2000 04 06.2468  14 03 44.49 -22 09 16.8          18.7 Rbb1957709
A1955J99R36Q TC2000 04 06.2489  14 03 44.12 -22 09 17.0          19.0 Rbb1957709
A1955J99R36Q TC2000 04 06.2503  14 03 43.79 -22 09 17.8          19.0 Rbb1957709
A1955J99R36Q TC2000 04 06.2524  14 03 43.38 -22 09 18.2          19.0 Rbb1957709
A1955J99R36Q TC2000 04 06.2545  14 03 43.02 -22 09 18.8          18.9 Rbb1957709
A1955J99R36Q 1C2005 06 30.51563 23 07 50.67 -25 02 12.4                cn6831F65
A1955J99R36Q 1C2005 06 30.51679 23 07 50.82 -25 02 12.5                cn6831F65
A1955J99R36Q 1C2005 06 30.51789 23 07 50.94 -25 02 12.0                cn6831F65
A1955J99R36Q 1C2005 06 30.51899 23 07 51.13 -25 02 11.2                cn6831F65
A1955J99R36Q  C2005 08 08.66627 00 30 23.61 -24 27 34.0          18.5 Vrn9205E12
A1955J99R36Q  C2005 08 08.67949 00 30 25.20 -24 27 33.1          18.6 Vrn9205E12
A1955J99R36Q  C2005 08 08.69222 00 30 26.67 -24 27 31.9          18.7 Vrn9205E12
A1955J99R36Q  C2005 08 08.70510 00 30 28.11 -24 27 30.5          18.6 Vrn9205E12
A1955J99R36Q  C2005 08 15.69461 00 46 50.49 -24 07 28.8          18.2 Vrn9553428
A1955J99R36Q  C2005 08 15.69711 00 46 50.81 -24 07 28.1          18.3 Vrn9553428
A1955J99R36Q  C2005 08 15.69961 00 46 51.13 -24 07 27.5          18.1 Vrn9553428
A1955J99R36Q  C2005 08 27.76410 01 23 10.21 -22 16 32.7          17.1 Vrn9553E12
A1955J99R36Q  C2005 08 27.77510 01 23 12.33 -22 16 21.3          17.1 Vrn9553E12
A1955J99R36Q  C2005 08 27.78638 01 23 14.60 -22 16 09.4          17.1 Vrn9553E12
A1955J99R36Q  C2005 08 27.79745 01 23 16.76 -22 15 57.3          17.3 Vrn9553E12
A1955J99R36Q  C2005 09 04.06134 01 57 36.98 -19 11 17.8          16.8 Rro0919157
A1955J99R36Q  C2005 09 04.06238 01 57 37.31 -19 11 14.9          16.8 Rro0919157
A1955J99R36Q  C2005 09 04.06343 01 57 37.67 -19 11 13.0          17.0 Rro0919157
